"","pct","pollster","state","end_date","pollscore","party","methodology","sample_size"
"33",62,"Emerson","South Dakota",2024-10-22,-1.1,"REP","IVR/Online Panel/Text-to-Web",825
"34",47,"Ipsos","National",2024-10-22,-0.9,"REP","Probability Panel",2808
"35",47,"Ipsos","National",2024-10-22,-0.9,"REP","Probability Panel",2392
"36",47,"Ipsos","National",2024-10-22,-0.9,"REP","Probability Panel",1913
"37",55.1,"East Carolina University","South Carolina",2024-10-22,-0.5,"REP","IVR/Text-to-Web",950
"38",48,"Marist","Georgia",2024-10-22,-0.9,"REP","Live Phone/Online Panel/Text-to-Web",1356
"39",49,"Marist","Georgia",2024-10-22,-0.9,"REP","Live Phone/Online Panel/Text-to-Web",1193
"40",49,"Marist","North Carolina",2024-10-22,-0.9,"REP","Live Phone/Online Panel/Text-to-Web",1410
"41",50,"Marist","North Carolina",2024-10-22,-0.9,"REP","Live Phone/Online Panel/Text-to-Web",1226
"42",49,"Marist","Arizona",2024-10-22,-0.9,"REP","Live Phone/Online Panel/Text-to-Web",1329
"43",50,"Marist","Arizona",2024-10-22,-0.9,"REP","Live Phone/Online Panel/Text-to-Web",1193
"44",33,"University of Maryland/Washington Post","Maryland",2024-10-22,-0.3,"REP","Live Phone/Text-to-Web",1000
"45",34.4,"Emerson","Maryland",2024-10-21,-1.1,"REP","Online Panel/Text-to-Web",865
"46",45,"YouGov","National",2024-10-21,-1.1,"REP","Online Panel",1266
"47",45,"YouGov","National",2024-10-21,-1.1,"REP","Online Panel",1189
"48",53.1,"Emerson","Texas",2024-10-21,-1.1,"REP","IVR/Online Panel/Text-to-Web",815
"49",44,"Monmouth","National",2024-10-21,-0.9,"REP","Live Phone/Text-to-Web",802
"50",46,"Quinnipiac","Michigan",2024-10-21,-0.5,"REP","Live Phone",1136
"51",46,"Quinnipiac","Michigan",2024-10-21,-0.5,"REP","Live Phone",1136
"52",48,"Quinnipiac","Wisconsin",2024-10-21,-0.5,"REP","Live Phone",1108
"53",48,"Quinnipiac","Wisconsin",2024-10-21,-0.5,"REP","Live Phone",1108
"54",43,"Ipsos","National",2024-10-21,-0.9,"REP","Probability Panel",3481
"55",45,"Ipsos","National",2024-10-21,-0.9,"REP","Probability Panel",3307
"56",39,"Ipsos","National",2024-10-21,-0.9,"REP","Probability Panel",4129
"57",39,"Ipsos","National",2024-10-21,-0.9,"REP","Probability Panel",4129
"58",43,"Ipsos","National",2024-10-21,-0.9,"REP","Probability Panel",3481
"59",45,"Ipsos","National",2024-10-21,-0.9,"REP","Probability Panel",3307
"60",53.6,"Emerson","Florida",2024-10-20,-1.1,"REP","IVR/Online Panel/Text-to-Web",860
"61",46,"SurveyUSA/High Point University","North Carolina",2024-10-20,-1.3,"REP","Online Panel",1164
"62",45,"Franklin and Marshall College","Pennsylvania",2024-10-20,-0.1,"REP","Mail-to-Web/Mail-to-Phone",794
"63",50,"Franklin and Marshall College","Pennsylvania",2024-10-20,-0.1,"REP","Mail-to-Web/Mail-to-Phone",583
"64",44,"Franklin and Marshall College","Pennsylvania",2024-10-20,-0.1,"REP","Mail-to-Web/Mail-to-Phone",794
"65",48,"Hart/POS","National",2024-10-19,-0.7,"REP","Live Phone",1000
"66",44.4,"Suffolk","National",2024-10-18,-1,"REP","Live Phone",1000
"67",48.7,"Suffolk","National",2024-10-18,-1,"REP","Live Phone",1000
"68",41,"Research & Polling","New Mexico",2024-10-18,-0.9,"REP","Live Phone",1024
"69",53,"U. North Florida","Florida",2024-10-18,-0.6,"REP","Live Phone",977
"70",52,"RMG Research","Florida",2024-10-17,-0.4,"REP","Online Panel",788
"71",37,"Siena","New York",2024-10-17,-0.8,"REP","Live Phone",872
"72",39,"Siena","New York",2024-10-17,-0.8,"REP","Live Phone",872
"73",50.7,"AtlasIntel","National",2024-10-17,-0.8,"REP","Online Ad",4180
"74",50.8,"AtlasIntel","National",2024-10-17,-0.8,"REP","Online Ad",4180
"75",49.2,"AtlasIntel","Arizona",2024-10-17,-0.8,"REP","Online Ad",1440
"76",49.2,"AtlasIntel","Arizona",2024-10-17,-0.8,"REP","Online Ad",1440
"77",49.5,"AtlasIntel","Georgia",2024-10-17,-0.8,"REP","Online Ad",1411
"78",50.1,"AtlasIntel","Georgia",2024-10-17,-0.8,"REP","Online Ad",1411
"79",49.6,"AtlasIntel","Michigan",2024-10-17,-0.8,"REP","Online Ad",1529
"80",50.2,"AtlasIntel","Michigan",2024-10-17,-0.8,"REP","Online Ad",1529
"81",48.4,"AtlasIntel","Nevada",2024-10-17,-0.8,"REP","Online Ad",1171
"82",48.3,"AtlasIntel","Nevada",2024-10-17,-0.8,"REP","Online Ad",1171
"83",48.8,"AtlasIntel","North Carolina",2024-10-17,-0.8,"REP","Online Ad",1674
"84",48.8,"AtlasIntel","North Carolina",2024-10-17,-0.8,"REP","Online Ad",1674
"85",49.8,"AtlasIntel","Pennsylvania",2024-10-17,-0.8,"REP","Online Ad",2048
"86",49.9,"AtlasIntel","Pennsylvania",2024-10-17,-0.8,"REP","Online Ad",2048
"87",48.2,"AtlasIntel","Wisconsin",2024-10-17,-0.8,"REP","Online Ad",932
"88",48.4,"AtlasIntel","Wisconsin",2024-10-17,-0.8,"REP","Online Ad",932
"89",49.2,"Emerson","National",2024-10-16,-1.1,"REP","IVR/Online Panel/Text-to-Web",1000
"90",49,"RMG Research","National",2024-10-16,-0.4,"REP","Online Panel",2950
"91",59,"Mason-Dixon","South Dakota",2024-10-16,-1.1,"REP","Live Phone",500
"92",51,"YouGov","Arizona",2024-10-16,-1.1,"REP","Online Panel",1435
"93",46,"UMass Amherst/YouGov","National",2024-10-16,-0.4,"REP","Online Panel",1412
"94",50,"RMG Research","Wisconsin",2024-10-16,-0.4,"REP","Online Panel",787
"95",49,"RMG Research","Michigan",2024-10-16,-0.4,"REP","Online Panel",789
"96",47,"U. Georgia SPIA","Georgia",2024-10-16,-0.2,"REP","Live Phone",1000
"97",45,"YouGov","National",2024-10-15,-1.1,"REP","Online Panel",1457
"98",45,"YouGov","National",2024-10-15,-1.1,"REP","Online Panel",1314
"99",33,"PPIC","California",2024-10-15,-0.4,"REP","Probability Panel",1137
"100",50,"Washington Post/George Mason University","Arizona",2024-10-15,-0.8,"REP","Live Phone/Text-to-Web/Email/Mail-to-Web",580
"101",49,"Washington Post/George Mason University","Arizona",2024-10-15,-0.8,"REP","Live Phone/Text-to-Web/Email/Mail-to-Web",580
"102",44,"Washington Post/George Mason University","Georgia",2024-10-15,-0.8,"REP","Live Phone/Text-to-Web/Email/Mail-to-Web",730
"103",47,"Washington Post/George Mason University","Georgia",2024-10-15,-0.8,"REP","Live Phone/Text-to-Web/Email/Mail-to-Web",730
"104",47,"Washington Post/George Mason University","Michigan",2024-10-15,-0.8,"REP","Live Phone/Text-to-Web/Email/Mail-to-Web",687
"105",47,"Washington Post/George Mason University","Michigan",2024-10-15,-0.8,"REP","Live Phone/Text-to-Web/Email/Mail-to-Web",687
"106",44,"Washington Post/George Mason University","Nevada",2024-10-15,-0.8,"REP","Live Phone/Text-to-Web/Email/Mail-to-Web",652
"107",48,"Washington Post/George Mason University","Nevada",2024-10-15,-0.8,"REP","Live Phone/Text-to-Web/Email/Mail-to-Web",652
"108",49,"Washington Post/George Mason University","North Carolina",2024-10-15,-0.8,"REP","Live Phone/Text-to-Web/Email/Mail-to-Web",965
"109",50,"Washington Post/George Mason University","North Carolina",2024-10-15,-0.8,"REP","Live Phone/Text-to-Web/Email/Mail-to-Web",965
"110",46,"Washington Post/George Mason University","Pennsylvania",2024-10-15,-0.8,"REP","Live Phone/Text-to-Web/Email/Mail-to-Web",707
"111",47,"Washington Post/George Mason University","Pennsylvania",2024-10-15,-0.8,"REP","Live Phone/Text-to-Web/Email/Mail-to-Web",707
"112",46,"Washington Post/George Mason University","Wisconsin",2024-10-15,-0.8,"REP","Live Phone/Text-to-Web/Email/Mail-to-Web",695
"113",47,"Washington Post/George Mason University","Wisconsin",2024-10-15,-0.8,"REP","Live Phone/Text-to-Web/Email/Mail-to-Web",695
"114",36.6,"Emerson","California",2024-10-14,-1.1,"REP","IVR/Online Panel",1000
"115",47.2,"Cygnal","North Carolina",2024-10-14,-1.1,"REP","Live Phone/Text-to-Web",600
"116",50,"Beacon/Shaw","National",2024-10-14,-1.1,"REP","Live Phone/Text-to-Web",1110
"117",50,"Beacon/Shaw","National",2024-10-14,-1.1,"REP","Live Phone/Text-to-Web",870
"118",52,"Quinnipiac","Georgia",2024-10-14,-0.5,"REP","Live Phone",1328
"119",52,"Quinnipiac","Georgia",2024-10-14,-0.5,"REP","Live Phone",1328
"120",47,"Quinnipiac","North Carolina",2024-10-14,-0.5,"REP","Live Phone",1031
"121",47,"Quinnipiac","North Carolina",2024-10-14,-0.5,"REP","Live Phone",1031
"122",35,"SurveyUSA","Washington",2024-10-14,-1.3,"REP","Online Panel",703
"123",48.9,"East Carolina University","Georgia",2024-10-14,-0.5,"REP","IVR/Text-to-Web",701
"124",47,"Fairleigh Dickinson","National",2024-10-14,-0.6,"REP","Live Phone/Text-to-Web",806
"125",42,"Ipsos","National",2024-10-13,-0.9,"REP","Probability Panel",807
"126",44,"Ipsos","National",2024-10-13,-0.9,"REP","Probability Panel",769
"127",37,"Ipsos","National",2024-10-13,-0.9,"REP","Probability Panel",938
"128",48,"YouGov","National",2024-10-11,-1.1,"REP","Online Panel",2712
"129",47,"Marist","National",2024-10-10,-0.9,"REP","Online Panel/Text-to-Web",1401
"130",48,"Marist","National",2024-10-10,-0.9,"REP","Online Panel/Text-to-Web",1708
"131",47,"RMG Research","National",2024-10-10,-0.4,"REP","Online Panel",2945
"132",47,"Siena/NYT","Pennsylvania",2024-10-10,-1.5,"REP","Live Phone",857
"133",45,"Siena/NYT","Pennsylvania",2024-10-10,-1.5,"REP","Live Phone",857
"134",47,"Siena/NYT","Pennsylvania",2024-10-10,-1.5,"REP","Live Phone",857
"135",45,"Siena/NYT","Pennsylvania",2024-10-10,-1.5,"REP","Live Phone",857
"136",51,"Siena/NYT","Arizona",2024-10-10,-1.5,"REP","Live Phone",808
"137",50,"Siena/NYT","Arizona",2024-10-10,-1.5,"REP","Live Phone",808
"138",51,"Siena/NYT","Arizona",2024-10-10,-1.5,"REP","Live Phone",808
"139",49,"Siena/NYT","Arizona",2024-10-10,-1.5,"REP","Live Phone",808
"140",50,"RMG Research","Georgia",2024-10-10,-0.4,"REP","Online Panel",731
"141",30,"UMass Amherst/YouGov","Massachusetts",2024-10-10,-0.4,"REP","Online Panel",700
"142",41,"University of Massachusetts Lowell/YouGov","New Hampshire",2024-10-10,-1,"REP","Online Panel",600
"143",51,"YouGov","Texas",2024-10-10,-1.1,"REP","Online Panel",1091
"144",50,"Marquette Law School","National",2024-10-10,-1.1,"REP","Probability Panel",780
"145",39,"Marquette Law School","National",2024-10-10,-1.1,"REP","Probability Panel",780
"146",50,"Marquette Law School","National",2024-10-10,-1.1,"REP","Probability Panel",652
"147",41,"Marquette Law School","National",2024-10-10,-1.1,"REP","Probability Panel",652
"148",51,"U. Houston","Texas",2024-10-10,-0.3,"REP","Online Panel",1329
"149",48,"InsiderAdvantage","Michigan",2024-10-09,-0.3,"REP","Text",800
"150",48,"InsiderAdvantage","Wisconsin",2024-10-09,-0.3,"REP","Text",800
"151",45,"University of Massachusetts Lowell/YouGov","Pennsylvania",2024-10-09,-1,"REP","Online Panel",800
"152",49,"InsiderAdvantage","Pennsylvania",2024-10-08,-0.3,"REP","Text",800
"153",50.5,"Emerson","Arizona",2024-10-08,-1.1,"REP","IVR/Online Panel/Text-to-Web",1000
"154",49.7,"Emerson","Georgia",2024-10-08,-1.1,"REP","IVR/Online Panel/Text-to-Web",1000
"155",49.6,"Emerson","Michigan",2024-10-08,-1.1,"REP","IVR/Online Panel/Text-to-Web",950
"156",48.1,"Emerson","Nevada",2024-10-08,-1.1,"REP","IVR/Online Panel/Text-to-Web",900
"157",49.9,"Emerson","North Carolina",2024-10-08,-1.1,"REP","IVR/Online Panel/Text-to-Web",1000
"158",49.7,"Emerson","Pennsylvania",2024-10-08,-1.1,"REP","IVR/Online Panel/Text-to-Web",1000
"159",49.9,"Emerson","Wisconsin",2024-10-08,-1.1,"REP","IVR/Online Panel/Text-to-Web",1000
"160",57,"Siena/NYT","Montana",2024-10-08,-1.5,"REP","Live Phone",656
"161",56,"Siena/NYT","Montana",2024-10-08,-1.5,"REP","Live Phone",656
"162",57,"Siena/NYT","Montana",2024-10-08,-1.5,"REP","Live Phone",656
"163",56,"Siena/NYT","Montana",2024-10-08,-1.5,"REP","Live Phone",656
"164",47,"Hart/POS","National",2024-10-08,-0.7,"REP","Live Phone",1000
"165",48,"Hart/POS","National",2024-10-08,-0.7,"REP","Live Phone",1000
"166",48,"Ipsos","National",2024-10-08,-0.9,"REP","Probability Panel",2631
"167",47,"Ipsos","National",2024-10-08,-0.9,"REP","Probability Panel",2226
"168",48,"Ipsos","National",2024-10-08,-0.9,"REP","Probability Panel",1714
"169",49,"Ipsos","National",2024-10-08,-0.9,"REP","Probability Panel",2631
"170",49,"Ipsos","National",2024-10-08,-0.9,"REP","Probability Panel",2226
"171",48,"Ipsos","National",2024-10-08,-0.9,"REP","Probability Panel",1714
"172",44,"YouGov","National",2024-10-07,-1.1,"REP","Online Panel",1414
"173",45,"YouGov","National",2024-10-07,-1.1,"REP","Online Panel",1230
"174",48,"Research Co.","Michigan",2024-10-07,-0.5,"REP","Online Panel",450
"175",49,"Research Co.","Pennsylvania",2024-10-07,-0.5,"REP","Online Panel",450
"176",48,"Research Co.","Wisconsin",2024-10-07,-0.5,"REP","Online Panel",450
"177",38,"Ipsos","National",2024-10-07,-0.9,"REP","Probability Panel",1272
"178",43,"Ipsos","National",2024-10-07,-0.9,"REP","Probability Panel",1076
"179",45,"Ipsos","National",2024-10-07,-0.9,"REP","Probability Panel",1076
"180",47,"Ipsos","National",2024-10-07,-0.9,"REP","Probability Panel",1272
"181",48,"Ipsos","National",2024-10-07,-0.9,"REP","Probability Panel",1076
"182",49,"Ipsos","National",2024-10-07,-0.9,"REP","Probability Panel",1076
"183",50,"Quinnipiac","Michigan",2024-10-07,-0.5,"REP","Live Phone",1007
"184",51,"Quinnipiac","Michigan",2024-10-07,-0.5,"REP","Live Phone",1007
"185",46,"Quinnipiac","Pennsylvania",2024-10-07,-0.5,"REP","Live Phone",1412
"186",47,"Quinnipiac","Pennsylvania",2024-10-07,-0.5,"REP","Live Phone",1412
"187",48,"Quinnipiac","Wisconsin",2024-10-07,-0.5,"REP","Live Phone",1073
"188",49,"Quinnipiac","Wisconsin",2024-10-07,-0.5,"REP","Live Phone",1073
"189",51,"Marist","Florida",2024-10-07,-0.9,"REP","Live Phone/Online Panel/Text-to-Web",1257
"190",51,"Marist","Florida",2024-10-07,-0.9,"REP","Live Phone/Online Panel/Text-to-Web",1410
"191",52,"Marist","Texas",2024-10-07,-0.9,"REP","Live Phone/Online Panel/Text-to-Web",1365
"192",53,"Marist","Texas",2024-10-07,-0.9,"REP","Live Phone/Online Panel/Text-to-Web",1186
"193",52,"Marist","Ohio",2024-10-07,-0.9,"REP","Live Phone/Online Panel/Text-to-Web",1511
"194",52,"Marist","Ohio",2024-10-07,-0.9,"REP","Live Phone/Online Panel/Text-to-Web",1327
"195",51,"The Washington Post","Ohio",2024-10-07,-1.2,"REP","Live Phone/Text-to-Web",1002
"196",51,"The Washington Post","Ohio",2024-10-07,-1.2,"REP","Live Phone/Text-to-Web",1002
"197",54,"Noble Predictive Insights","Utah",2024-10-07,-0.4,"REP","Online Panel/Text-to-Web",539
"198",54,"Noble Predictive Insights","Utah",2024-10-07,-0.4,"REP","Online Panel/Text-to-Web",539
"199",52,"Noble Predictive Insights","Utah",2024-10-07,-0.4,"REP","Online Panel/Text-to-Web",600
"200",51,"Noble Predictive Insights","Utah",2024-10-07,-0.4,"REP","Online Panel/Text-to-Web",600
"201",45,"Research Co.","National",2024-10-06,-0.5,"REP","Online Panel",1001
"202",47,"Pew","National",2024-10-06,-0.4,"REP","Probability Panel",4025
"203",49,"Pew","National",2024-10-06,-0.4,"REP","Probability Panel",4025
"204",46,"Siena/NYT","National",2024-10-06,-1.5,"REP","Live Phone",3385
"205",44,"Siena/NYT","National",2024-10-06,-1.5,"REP","Live Phone",3385
"206",55,"Siena/NYT","Florida",2024-10-06,-1.5,"REP","Live Phone",622
"207",53,"Siena/NYT","Florida",2024-10-06,-1.5,"REP","Live Phone",622
"208",54,"Siena/NYT","Florida",2024-10-06,-1.5,"REP","Live Phone",622
"209",53,"Siena/NYT","Florida",2024-10-06,-1.5,"REP","Live Phone",622
"210",32.2,"Suffolk","Massachusetts",2024-10-05,-1,"REP","Live Phone",500
"211",45,"YouGov","National",2024-10-04,-1.1,"REP","Online Panel",1150
"212",47,"YouGov","National",2024-10-04,-1.1,"REP","Online Panel",1032
"213",46,"YouGov","National",2024-10-04,-1.1,"REP","Online Panel",1151
"214",47,"YouGov","National",2024-10-04,-1.1,"REP","Online Panel",1033
"215",46,"Noble Predictive Insights","National",2024-10-04,-0.4,"REP","Online Panel",2290
"216",47,"Noble Predictive Insights","National",2024-10-04,-0.4,"REP","Online Panel",2290
"217",46,"Noble Predictive Insights","National",2024-10-04,-0.4,"REP","Online Panel",2560
"218",45,"Noble Predictive Insights","National",2024-10-04,-0.4,"REP","Online Panel",2560
"219",49,"Mason-Dixon","Florida",2024-10-04,-1.1,"REP","Live Phone",625
"220",50,"Siena/NYT","Texas",2024-10-04,-1.5,"REP","Live Phone",617
"221",49,"Siena/NYT","Texas",2024-10-04,-1.5,"REP","Live Phone",617
"222",50,"Siena/NYT","Texas",2024-10-04,-1.5,"REP","Live Phone",617
"223",48,"Siena/NYT","Texas",2024-10-04,-1.5,"REP","Live Phone",617
"224",41,"Christopher Newport U.","Virginia",2024-10-04,-0.6,"REP","Live Phone",800
"225",46,"Data for Progress","National",2024-10-03,-1.2,"REP","Online Panel",1211
"226",49,"RMG Research","National",2024-10-03,-0.4,"REP","Online Panel",2965
"227",49,"RMG Research","Nevada",2024-10-03,-0.4,"REP","Online Panel",782
"228",44,"St. Anselm","New Hampshire",2024-10-02,-0.5,"REP","Online Panel",2104
"229",50,"RMG Research","Arizona",2024-10-02,-0.4,"REP","Online Panel",783
"230",44.7,"YouGov/Center for Working Class Politics","Pennsylvania",2024-10-02,-1.1,"REP","Online Panel",1000
"231",45,"YouGov","National",2024-10-01,-1.1,"REP","Online Panel",1463
"232",46,"YouGov","National",2024-10-01,-1.1,"REP","Online Panel",1261
"233",48.6,"Emerson","National",2024-10-01,-1.1,"REP","IVR/Online Panel/Text-to-Web",1000
"234",48,"Marist","National",2024-10-01,-0.9,"REP","Live Phone/Online Panel/Text-to-Web",1294
"235",47,"Marist","National",2024-10-01,-0.9,"REP","Live Phone/Online Panel/Text-to-Web",1514
"236",35,"UC Berkeley","California",2024-10-01,-0.2,"REP","Email",3045
"237",49,"Mitchell","Michigan",2024-09-30,-0.2,"REP","Text-to-Web",709
"238",47,"Mitchell","Michigan",2024-09-30,-0.2,"REP","Text-to-Web",709
"239",49.1,"InsiderAdvantage","Arizona",2024-09-30,-0.3,"REP","Text",800
"240",49.3,"InsiderAdvantage","Nevada",2024-09-30,-0.3,"REP","Text",800
"241",49.5,"InsiderAdvantage","North Carolina",2024-09-30,-0.3,"REP","Text",800
"242",48.1,"InsiderAdvantage","Georgia",2024-09-30,-0.3,"REP","Text",800
"243",50,"The Washington Post","North Carolina",2024-09-29,-1.2,"REP","Live Phone/Text-to-Web",1001
"244",50,"The Washington Post","North Carolina",2024-09-29,-1.2,"REP","Live Phone/Text-to-Web",1001
"245",49,"Quinnipiac","North Carolina",2024-09-29,-0.5,"REP","Live Phone",953
"246",49,"Quinnipiac","North Carolina",2024-09-29,-0.5,"REP","Live Phone",953
"247",50,"Quinnipiac","Georgia",2024-09-29,-0.5,"REP","Live Phone",942
"248",50,"Quinnipiac","Georgia",2024-09-29,-0.5,"REP","Live Phone",942
"249",46,"National Research","Arizona",2024-09-29,-0.5,"REP","Live Phone/Text-to-Web",600
"250",51.6,"Winthrop U.","South Carolina",2024-09-29,-0.3,"REP","Live Phone/Online Panel",1068
"251",46,"High Point University","North Carolina",2024-09-29,-0.4,"REP","Online Panel",814
"252",48,"High Point University","North Carolina",2024-09-29,-0.4,"REP","Online Panel",589
"253",51.7,"Emerson","Arizona",2024-09-28,-1.1,"REP","Online Panel/Text-to-Web",920
"254",49.9,"Emerson","North Carolina",2024-09-28,-1.1,"REP","Online Panel/Text-to-Web",850
"255",48.8,"Emerson","Pennsylvania",2024-09-28,-1.1,"REP","Online Panel/Text-to-Web",1000
"256",53,"RMG Research","Texas",2024-09-27,-0.4,"REP","Online Panel",779
"257",50,"RMG Research","Florida",2024-09-27,-0.4,"REP","Online Panel",774
"258",51,"RMG Research","North Carolina",2024-09-27,-0.4,"REP","Online Panel",780
"259",47,"RMG Research","Michigan",2024-09-27,-0.4,"REP","Online Panel",789
"260",45,"McCourtney Institute/YouGov","National",2024-09-27,-1.1,"REP","Online Panel",848
"261",42,"Siena/NYT","Nebraska CD-2",2024-09-26,-1.5,"REP","Live Phone",680
"262",41,"Siena/NYT","Nebraska CD-2",2024-09-26,-1.5,"REP","Live Phone",680
"263",43,"Siena/NYT","Nebraska CD-2",2024-09-26,-1.5,"REP","Live Phone",680
"264",42,"Siena/NYT","Nebraska CD-2",2024-09-26,-1.5,"REP","Live Phone",680
"265",44,"SurveyUSA","Minnesota",2024-09-26,-1.3,"REP","Online Panel",646
"266",49.4,"East Carolina University","North Carolina",2024-09-26,-0.5,"REP","IVR/Text-to-Web",1005
"267",47,"Siena/NYT","Michigan",2024-09-26,-1.5,"REP","Live Phone",688
"268",46,"Siena/NYT","Michigan",2024-09-26,-1.5,"REP","Live Phone",688
"269",47,"Siena/NYT","Michigan",2024-09-26,-1.5,"REP","Live Phone",688
"270",46,"Siena/NYT","Michigan",2024-09-26,-1.5,"REP","Live Phone",688
"271",49,"Siena/NYT","Ohio",2024-09-26,-1.5,"REP","Live Phone",687
"272",47,"Siena/NYT","Ohio",2024-09-26,-1.5,"REP","Live Phone",687
"273",50,"Siena/NYT","Ohio",2024-09-26,-1.5,"REP","Live Phone",687
"274",49,"Siena/NYT","Ohio",2024-09-26,-1.5,"REP","Live Phone",687
"275",47,"Siena/NYT","Wisconsin",2024-09-26,-1.5,"REP","Live Phone",680
"276",45,"Siena/NYT","Wisconsin",2024-09-26,-1.5,"REP","Live Phone",680
"277",47,"Siena/NYT","Wisconsin",2024-09-26,-1.5,"REP","Live Phone",680
"278",46,"Siena/NYT","Wisconsin",2024-09-26,-1.5,"REP","Live Phone",680
"279",48,"Marquette Law School","Wisconsin",2024-09-26,-1.1,"REP","Probability Panel",882
"280",48,"Marquette Law School","Wisconsin",2024-09-26,-1.1,"REP","Probability Panel",798
"281",44,"Marquette Law School","Wisconsin",2024-09-26,-1.1,"REP","Probability Panel",882
"282",44,"Marquette Law School","Wisconsin",2024-09-26,-1.1,"REP","Probability Panel",798
"283",45,"Echelon Insights","National",2024-09-25,-0.8,"REP","Online Panel",1005
"284",44,"Echelon Insights","National",2024-09-25,-0.8,"REP","Online Panel",1005
"285",41.6,"Emerson","New York",2024-09-25,-1.1,"REP","Online Panel/Text-to-Web",1000
"286",48,"RMG Research","National",2024-09-25,-0.4,"REP","Online Panel",2952
"287",48,"CNN/SSRS","North Carolina",2024-09-25,-0.6,"REP","Live Phone/Text-to-Web/Email/Mail-to-Web/Mail-to-Phone",931
"288",42,"CNN/SSRS","Nebraska CD-2",2024-09-25,-0.6,"REP","Live Phone/Text-to-Web/Email/Mail-to-Web/Mail-to-Phone",749
"289",49.7,"AtlasIntel","Arizona",2024-09-25,-0.8,"REP","Online Ad",946
"290",49.8,"AtlasIntel","Arizona",2024-09-25,-0.8,"REP","Online Ad",946
"291",50.4,"AtlasIntel","Michigan",2024-09-25,-0.8,"REP","Online Ad",918
"292",50.6,"AtlasIntel","Michigan",2024-09-25,-0.8,"REP","Online Ad",918
"293",47.7,"AtlasIntel","Nevada",2024-09-25,-0.8,"REP","Online Ad",858
"294",47.7,"AtlasIntel","Nevada",2024-09-25,-0.8,"REP","Online Ad",858
"295",50.6,"AtlasIntel","Pennsylvania",2024-09-25,-0.8,"REP","Online Ad",1775
"296",51,"AtlasIntel","Pennsylvania",2024-09-25,-0.8,"REP","Online Ad",1775
"297",49.6,"AtlasIntel","Wisconsin",2024-09-25,-0.8,"REP","Online Ad",1077
"298",49.7,"AtlasIntel","Wisconsin",2024-09-25,-0.8,"REP","Online Ad",1077
"299",47.3,"AtlasIntel","North Carolina",2024-09-25,-0.8,"REP","Online Ad",1173
"300",48.1,"AtlasIntel","North Carolina",2024-09-25,-0.8,"REP","Online Ad",1173
